----------------------------------------------------------------------------------,,,,
Search Criteria: ,,,,
"Text Search: lung cancer (and);Search in: Projects 		AdminIC: All; Fiscal Year: Active Projects ",,,,
----------------------------------------------------------------------------------,,,,
Project Title,Organization Name,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
IGF::OT::IGF - TASK ORDER TITLE: CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER) ; PERIOD OF PERFORMANCE 05/01/2015-04/30/2016,UNIVERSITY OF KENTUCKY,2015,1716924,
EXPANDING THE UTILITY OF SEVERE COMBINED IMMUNO-DEFICIENT (SCID) PIG MODELS,IOWA STATE UNIVERSITY,2016,658842,
2-AMINO-9H-PYRIDO[2;3-B]INDOLE: A POTENTIAL COLORECTAL CARCINOGEN FORMED IN TOBAC,UNIVERSITY OF MINNESOTA,2014,341067,
2-AMINO-9H-PYRIDO[2;3-B]INDOLE: A POTENTIAL COLORECTAL CARCINOGEN FORMED IN TOBAC,UNIVERSITY OF MINNESOTA,2014,268252,
CARCINOGEN DNA ADDUCT BIOMARKERS IN FORMALIN FIXED TISSUES,UNIVERSITY OF MINNESOTA,2016,317592,
SALICYLIC ACID-BASED SMALL-MOLECULE STAT3 INHIBITORS FOR ANTICANCER THERAPY,UNIVERSITY OF HAWAII AT MANOA,2016,480634,
THE COLONIC MICROBIOTA AND IMMUNITY AFTER HEMATOPOIETIC STEM CELL TRANSPLANTATION,FRED HUTCHINSON CANCER RESEARCH CENTER,2016,525720,
CD22-TARGETED THERAPEUTICS FOR THE TREATMENT OF LUNG CANCER,VA NORTHERN CALIFORNIA HEALTH CARE SYS,2016,,
DEVELOPMENT OF INHALED PPI FOR TREATMENT OF PULMONARY FIBROSIS,"ALTITUDE PHARMA, INC.",2016,149950,
PHOSPHATIDYLSERINE TARGETED TUMOR CELL LYTIC PEPTOIDS,UNIVERSITY OF HOUSTON,2016,282027,
AUTOMATED OBJECT CONTOURING METHODS & SOFTWARE FOR THORACIC RADIOTHERAPY PLANNING,"QUANTITATIVE RADIOLOGY SOLUTIONS, LLC",2016,254097,
CIRCULATING ORGAN-ENRICHED MICRORNAS AS BIOMARKERS OF AGING,"DIAMIR, LLC",2016,224610,
THE EFFECT OF HPV ON APOPTOSIS AND CELLULAR PROLIFERATION IN LARYNGEAL PAPILLOMAS,UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,2015,221346,
WESTERN NEW YORK CANCER COALITION (WNYC2) CENTER TO REDUCE DISPARITIES,ROSWELL PARK CANCER INSTITUTE CORP,2015,394263,
WESTERN NEW YORK CANCER COALITION (WNYC2) CENTER TO REDUCE DISPARITIES,ROSWELL PARK CANCER INSTITUTE CORP,2014,52027,
WESTERN NEW YORK CANCER COALITION (WNYC2) CENTER TO REDUCE DISPARITIES,ROSWELL PARK CANCER INSTITUTE CORP,2014,734017,
GENOMIC INSIGHTS AND THERAPEUTIC TARGETING OF ORAL CANCER TUMOR INITIATING CELLS,WASHINGTON UNIVERSITY,2016,381250,
OCG WEB TRANSITION AND DEVELOPMENT ,"LEIDOS BIOMEDICAL RESEARCH, INC.",2012,544931,
DCTD SCREENING TECHNOLOGIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2008,1508310,
MOLECULAR ASSAYS FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2008,730474,
REPOSITORY SERVICES FOR EPIDEMIOLOGY STUDIES,"LEIDOS BIOMEDICAL RESEARCH, INC.",2008,15287,
DCTD CANCER IMAGING,"LEIDOS BIOMEDICAL RESEARCH, INC.",2008,5078129,
DCTD BIOPHARMACEUTICAL DEVELOPMENT,"LEIDOS BIOMEDICAL RESEARCH, INC.",2008,10673108,
ADMINISTRATION OF COMPREHENSIVE ASSESSMENT OF OCCUPATIONALLY-RELEVANT EXPOSURES,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2015,10000,
NCI EARLY DETECTION RESEARCH NETWORK:  BIOMARKER REFERENCE AND RESOURCE CENTER (BRRC) ,NATIONAL CANCER INSTITUTE,2016,800000,
NCI EARLY DETECTION RESEARCH NETWORK:  BIOMARKER REFERENCE AND RESOURCE CENTER (BRRC) ,NATIONAL CANCER INSTITUTE,2015,800000,
NATIONAL LONGITUDINAL MORTALITY STUDY (NLMS) ,NATIONAL INSTITUTE ON AGING,2016,300000,
TRD2: FUNCTIONAL IMAGING,MASSACHUSETTS GENERAL HOSPITAL,2016,,392531
CANCER-HEALTH DISPARITIES IN INCARCERATED MEN,COLUMBIA UNIVERSITY HEALTH SCIENCES,2016,187668,
STABLE AND TUNABLE EPISOMES FOR GENE THERAPY,"VIRONIKA, LLC",2015,130000,
LUIII PARVOVIRUS TARGETS GLIOMA,YALE UNIVERSITY,2015,345488,
LASSA-VSV TARGETS AND KILLS GLIOMA; AND IS NOT NEUROTOXIC,YALE UNIVERSITY,2016,382622,
CIGARETTE SMOKE-DERIVED ELECTROPHILIC ALDEHYDES AND AIRWAY INFLAMMATION,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,2016,381250,
THE ROLE OF SENESCENT CELLS IN LATE-LIFE TUMORIGENESIS,MAYO CLINIC ROCHESTER,2016,343817,
ANIMAL MODEL DEVELOPMENT-CAPR INFRASTRUCTURE,DIVISION OF BASIC SCIENCES - NCI,2015,1397013,
PRECLINICAL CHARACTERIZATION OF DRUGS IN MOUSE MODEL OF LUNG CANCER,DIVISION OF BASIC SCIENCES - NCI,2015,481728,
MOLECULAR AND CELLULAR CANCER BIOLOGY PROGRAM (PROJECT-001),UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,34673
THE ROLE OF DDR2 IN THE BREAST CANCER MICROENVIRONMENT,WASHINGTON UNIVERSITY,2016,30183,
TARGETING MECHANISMS OF MEDULLOBLASTOMA FORMATION,EMORY UNIVERSITY,2016,386460,
A SMALL MOLECULE INTEGRIN ACTIVATOR TO ENHANCE CORD BLOOD TRANSPLANT,"7 HILLS PHARMA, LLC",2016,295931,
VANGL DEPENDENT PCP SIGNALING MEDIATES EMT INDUCED CELL INVASIVENESS,UNIVERSITY OF CALIFORNIA AT DAVIS,2016,38128,
DEFINING EPITHELIAL CELL POLARITY CUES THAT DIRECT CELL FATE,BOSTON UNIVERSITY MEDICAL CAMPUS,2016,408739,
CANCER BIOLOGY AND GENETICS,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,2015,1155009,
PROJECT 4: ENVIRONMENTALLY PERSISTENT FREE RADICALS INCREASE CARDIAC VULNERABILIT,LOUISIANA STATE UNIV A&M COL BATON ROUGE,2016,,205908
3RD INTERNATIONAL ALCOHOL AND CANCER CONFERENCE,YALE UNIVERSITY,2015,30000,
SIRT2 DIRECTS KRAS IR CELL RESISTANCE AND TUMORIGENESIS,NORTHWESTERN UNIVERSITY AT CHICAGO,2016,320588,
PROJECT 1,DUKE UNIVERSITY,2016,,206498
PARTNER ENGAGEMENT & RECEIPT OF SURVEILLANCE IN COLORECTAL CANCER SURVIVORS,UNIVERSITY OF MICHIGAN,2016,174544,
TARGETED ELECTRIC FIELD THERAPY FOR MALIGNANT INFILTRATIVE GLIOMA,VIRGINIA POLYTECHNIC INST AND ST UNIV,2016,206723,
(PQ #4) SINGLE CELL BARCODING FOR STUDIES OF STUDY CLONAL EVOLUTION IN GLIOBLASTO,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,332000,
IN VIVO MULTIPHOTON BASED IMAGING OF COMPLEX CANCER CELL BEHAVIOR,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2015,753636,
VANDERBILT-EMORY-CORNELL-DUKE CONSORTIUM FOR GLOBAL HEALTH FELLOWS (VECDOR),VANDERBILT UNIVERSITY MEDICAL CENTER,2016,93654,
VANDERBILT-EMORY-CORNELL-DUKE CONSORTIUM FOR GLOBAL HEALTH FELLOWS (VECDOR),VANDERBILT UNIVERSITY MEDICAL CENTER,2016,148596,
VANDERBILT-EMORY-CORNELL-DUKE CONSORTIUM FOR GLOBAL HEALTH FELLOWS (VECDOR),VANDERBILT UNIVERSITY MEDICAL CENTER,2016,7633,
VANDERBILT-EMORY-CORNELL-DUKE CONSORTIUM FOR GLOBAL HEALTH FELLOWS (VECDOR),VANDERBILT UNIVERSITY MEDICAL CENTER,2016,821645,
BIOPSY PROBES WITH REAL-TIME MULTI-MODALITY IMAGE GUIDANCE FOR PERIPHERAL LUNG NODULES,LX MEDICAL CORPORATION,2016,224283,
GENESIS AND CONSEQUENCES OF ABERRANT DNA METHYLATION,EMORY UNIVERSITY,2016,300511,
CANCER GENETICS AND EPIGENETICS,EMORY UNIVERSITY,2016,,34093
PHOTOACOUSTIC DETECTION; CAPTURE; AND ANALYSIS OF CIRCULATING MELANOMA CELLS,DUQUESNE UNIVERSITY,2016,275409,
(PQB4) AGE-CANCER INTERPLAY OF GENOME AND EPI-GENOME IN HUMAN LUNG,"ALBERT EINSTEIN COLLEGE OF MEDICINE, INC",2016,700211,
APPLYING MHEALTH TO TOBACCO-RELATED HEALTH DISPARITIES: ENHANCING ASPECTS OF RESILIENCY TO AID CESSATION EFFORTS,RICE UNIVERSITY,2016,98194,
CLINICAL TRIAL PERSONALIZING RADIATION THERAPY THROUGH A NOVEL LUNG FUNCTION IMAGING MODALITY,UNIVERSITY OF COLORADO DENVER,2016,218591,
ANTAGONIZING THE SET ONCOPROTEIN,"COGNOSCI, INC.",2015,225000,
PTEN LOSS INCREASES EFFICIENCY OF BREAST TUMOR METASTASIS,UNIVERSITY OF MARYLAND BALTIMORE,2016,104830,
RESEARCH EDUCATION CORE,UNIVERSITY OF HAWAII AT MANOA,2016,,103987
CLINICAL PROTOCOL AND DATA MANAGEMENT (CORE 012),UNIVERSITY OF PENNSYLVANIA,2016,,1045017
PATHWAY ANALYSIS TOOLS FOR PERSONALIZED MEDICINE AND DRUG REPOSITIONING,ADVAITA CORPORATION,2016,586812,
STRUCTURAL BASIS FOR CHEMOKINE FUNCTION,MEDICAL COLLEGE OF WISCONSIN,2016,344250,
RPE ENERGY METABOLISM AND CELL PHENOTYPE,STANFORD UNIVERSITY,2016,398632,
PENN ROYBAL CENTER ON BEHAVIORAL ECONOMICS AND HEALTH,UNIVERSITY OF PENNSYLVANIA,2016,483304,
THE IMPACT OF WATERPIPE TOBACCO FLAVORS ON WATERPIPE SMOKING INTENTIONS; PERCEPTIONS; PATTERNS; AND TOXICANT EXPOSURE,UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2016,111000,
NETS IN THROMBOSIS AND INFLAMMATORY RESPONSES,CHILDREN'S HOSPITAL CORPORATION,2016,442500,
METABOLIC DRIVERS OF LUNG CANCER INITIATION; PROGRESSION AND THERAPY RESPONSE,YALE UNIVERSITY,2016,217283,
TGF-BETAS IN BREAST CANCER PROGRESSION,DIVISION OF BASIC SCIENCES - NCI,2015,874425,
STANFORD UNIVERSITY NCTN- NETWORK LEAD ACADEMIC SITE,STANFORD UNIVERSITY,2016,490000,
ARSENICAL PRODUCTION IN GERM FREE AND HUMANIZED MICE,MONTANA STATE UNIVERSITY - BOZEMAN,2016,216000,
FUNCTIONAL ANALYSIS OF PATHOGENIC MUTATIONS IN NEUROFIBROMATOSIS TYPE-1 (NF1),MASSACHUSETTS GENERAL HOSPITAL,2016,263150,
UNDERSTANDING THE MECHANISM OF RADIOTHERAPY-INDUCED DENTITION BREAKDOWN,UNIVERSITY OF MISSOURI KANSAS CITY,2014,371250,
EVALUATION OF SBP-101 FOR THE TREATMENT OF ACUTE PANCREATITIS,"SUN BIOPHARMA, INC.",2016,225000,
USING DONOR PDC TO OPTIMIZE GVHD AND GVL IN ALLOGENEIC STEM CELL TRANSPLANTATION,EMORY UNIVERSITY,2016,323700,
RON RECEPTOR TYROSINE KINASE SIGNALING IN BREAST CANCER,CINCINNATI VA MEDICAL CENTER RESEARCH,2016,,
IGF::OT::IGF SBIR PHASE II TOPIC 314; TITLE: VALIDATION OF THE HEMOSHEAR TUMOR MICROENVIRONMENT SYSTEM FOR DRUG DISCOVERY AND DEVELOPMENT,"HEMOSHEAR THERAPEUTICS, LLC",2015,1985884,
NANOPARTICLE FORMULATIONS OF DNA REPAIR INHIBITORS TO IMPROVE CHEMORADIOTHERAPY,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,312079,
RISK FACTORS FOR SEPSIS IN THE COMMUNITY,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2015,474942,
ROLE OF FORMYLPEPTIDE RECEPTORS IN HOST DEFENSE,DIVISION OF BASIC SCIENCES - NCI,2015,416783,
A STEM CELL STRATEGY TO INDUCE TUMOR STASIS AND INHIBIT METASTASIS OF BREAST CANC,WAYNE STATE UNIVERSITY,2016,339623,
NEXT GENERATION 4D-CBCT FOR LUNG CANCER RADIATION THERAPY,UT SOUTHWESTERN MEDICAL CENTER,2016,363750,
MECHANISMS PROMOTING TRANSLOCATIONS AND MATURE B CELL LYMPHOMAS,UNIVERSITY OF COLORADO DENVER,2016,333570,
ACUPRESSURE INTERVENTION TO IMPROVE FATIGUE AND PHYSICAL FUNCTIONING OF CHINESE IMMIGRANT BREAST CANCER SURVIVORS,GEORGETOWN UNIVERSITY,2016,219496,
AN ACOUSTOFLUIDIC DEVICE FOR POINT-OF-CARE SPUTUM PROCESSING AND ANALYSIS,"ASCENT BIO-NANO TECHNOLOGIES, INC.",2016,730534,
MICRORNAS FOR MONITORING TUMOR PROGRESSION AND PREDICTING RESPONSE TO THERAPY,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2015,159863,
NOVEL APPROACHES TO MAINTAINING ORGAN FUNCTION IN SEPSIS,FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,2016,398081,
METABOLIC DYSREGULATION AND THERAPEUTIC INTERVENTION IN ASTHMA,RESEARCH INST NATIONWIDE CHILDREN'S HOSP,2016,226950,
MULTISCALE NANOTECHNOLOGIES FOR COMPREHENSIVE ASSESSMENT OF LUNG CANCER IN BLOOD,STANFORD UNIVERSITY,2016,,481591
DEVELOPMENT OF A DUAL SMALL-MOLECULE BCL-XL/BCL-2 INHIBITOR FOR NON-SMALL CELL LU,UNIVERSITY OF MICHIGAN,2016,321625,
ANTI-OBESITY EFFECTS OF ADIPOSE-TARGETING RESVERATROL NANOCARRIERS,TEXAS TECH UNIVERSITY,2015,395239,
HETEROGENEOUS AND ROBUST SURVIVAL ANALYSIS IN GENOMIC STUDIES,UNIVERSITY OF WISCONSIN-MADISON,2016,255295,
MULTIPLEXED DETECTION OF CELL FREE DNA BIOMARKERS FOR CANCER,JOHNS HOPKINS UNIVERSITY,2015,340300,
DIGITAL DETECTION OF TUMOR-DERIVED CIRCULATING METHYLATED DNA,JOHNS HOPKINS UNIVERSITY,2016,211410,
STATISTICAL METHODS FOR GENOMIC ANALYSIS OF HETEROGENEOUS TUMORS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,296165,
ROLE OF SIRT1 IN LUNG CANCER PREVENTION BY BETA-CRYPTOXANTHIN,TUFTS UNIVERSITY BOSTON,2015,164213,
MECHANISMS OF BREAKING INDOLENCE IN SQUAMOUS CELL CARCINOMA,VA EASTERN COLORADO HEALTH CARE SYSTEM,2017,,
TRAINING IN TRANSLATIONAL RESEARCH OF LUNG; HEAD AND NECK CANCER,UNIVERSITY OF COLORADO DENVER,2016,35902,
TRAINING IN TRANSLATIONAL RESEARCH OF LUNG; HEAD AND NECK CANCER,UNIVERSITY OF COLORADO DENVER,2016,439355,
CHARACTERIZATION OF RECURRENT ADJACENT GENE TRANSLOCATIONS IN BREAST CANCER,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,319550,
THE IDENTIFICATION OF HUMAN HEPATOCELLULAR CARCINOMA METASTASIS GENES,DIVISION OF BASIC SCIENCES - NCI,2015,298914,
WISDOM OF CROWDS: INTEGRATING GENE SET ENRICHMENT STUDIES INVOLVING RNA-SEQ.,SOUTHERN METHODIST UNIVERSITY,2015,356094,
MIR-21 SIGNALING IN TUMOR RESPONSE TO RADIATION TREATMENT,EMORY UNIVERSITY,2016,323700,
THE ROLE OF FRAGILE SITES IN RET/PTC REARRANGEMENT,UNIVERSITY OF VIRGINIA,2016,298490,
MECHANISMS OF SUPPRESSION OF COLON CANCER BY RECEPTOR TYROSINE PHOSPHATASE PTPRT,CASE WESTERN RESERVE UNIVERSITY,2016,292112,
NEUTROPHIL-MEDIATED DRUG DELIVERY,WASHINGTON STATE UNIVERSITY,2016,339750,
CARE2BWELL: A WORKSITE PHYSICAL ACTIVITY & WELLNESS PROGRAM FOR CHILD CARE STAFF,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,791116,
IGF::OT::IGF CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER)  POP 05/01/2015 - 04/30/2016,EMORY UNIVERSITY,2015,2209506,
CANCER RISK AND ENVIRONMENTAL EXPOSURES,DIVISION OF CANCER EPIDEMIOLOGY AND GENETICS,2015,1393963,
LABORATORY OF GENITOURINARY CANCER PATHOGENESIS MICROSCOPY CORE FACILITY,DIVISION OF BASIC SCIENCES - NCI,2015,1167374,
REGULATION OF WNT SIGNALING BY LPP3 (PAP2B) DURING ANGIOGENESIS,UNIVERSITY OF ILLINOIS AT CHICAGO,2016,328570,
DONT KNOW RESPONSES TO PERCEIVED RISK ITEMS:  IMPLICATION FOR HEALTH BEHAVIOR,WASHINGTON UNIVERSITY,2015,83928,
CELL AND TISSUE IMAGING FACILITY,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,,156783
REGULATION AND FUNCTION OF NONLYMPHOID ORGAN CD103 DENDRITIC CELLS,UNIVERSITY OF TX MD ANDERSON CAN CTR,2016,400000,
DEVELOPMENT AND CHARACTERIZATION OF A SWINE MODEL OF NEUROFIBROMATOSIS TYPE 2,"RECOMBINETICS, INC.",2016,347891,
GENOMIC HARBINGERS OF BRAIN METASTASIS IN NON SMALL CELL LUNG CANCER,WASHINGTON UNIVERSITY,2016,314259,
INTERROGATING MECHANISMS OF HER2+ BREAST CANCER DRUG RESISTANCE USING MICROENVIRONMENT MICROARRAYS,OREGON HEALTH & SCIENCE UNIVERSITY,2016,43776,
VASCULAR AND NEURAL MECHANISMS OF SEROTONIN-INDUCED REDUCTION IN BLOOD PRESSURE,MICHIGAN STATE UNIVERSITY,2015,333201,
END OF TREATMENT TRANSITION TO FOLLOW-UP CARE AMONG EARLY STAGE LUNG CANCER SURVI,WAKE FOREST UNIVERSITY HEALTH SCIENCES,2015,77250,
OPTICAL IMAGING OF TARGETED ANTI-CANCER DRUG DELIVERY KINETICS,PURDUE UNIVERSITY,2016,167475,
PATHOGENESIS; TARGETED THERAPEUTICS; AND NEW VACCINES FOR CHILDHOOD DISEASE,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,259291,
MOLECULAR GENETICS AND EPIGENETICS,UNIVERSITY OF VIRGINIA,2016,,63539
A NEW TECHNIQUE TO MAKE 68GA-LABELED PHARMACEUTICALS WIDELY AVAILABLE FOR CLINICAL USE,SLOAN-KETTERING INST CAN RESEARCH,2016,555680,
REGULATION OF MEDULLOBLASTOMA METASTASIS BY EMP1,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2016,426563,
MEGA 2: MANIPULATION ENVIRONMENT FOR GENETIC ANALYSES,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,322784,
INHERITED AND SOMATIC ALTERATIONS OF THE TGF-B LIGAND AND RECEPTOR COMPLEX IN C..,OHIO STATE UNIVERSITY,2016,,499676
INDUCED DIFFERENTIATION TO DEPLETE CSCS FROM BREAST CANCER,WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,2016,494081,
EXPERIMENTAL THERAPEUTICS,GEORGETOWN UNIVERSITY,2016,,44660
STATIN USE IN RELATION TO BREAST CANCER RECURRENCE,KAISER FOUNDATION RESEARCH INSTITUTE,2016,79000,
CHEMICAL OPTIMIZATION OF A NOVEL CLASS OF USP7 INHIBITOR FOR CANCER TREATMENT,"PROGENRA, INC.",2016,748944,
RESTORING SALIVARY GLAND FUNCTION BY REDUCING NUCLEOTIDE-INDUCED INFLAMMATION,UNIVERSITY OF MISSOURI-COLUMBIA,2016,577684,
EXPLORING SARCOMA METASTATIC POTENTIAL,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,165456,
GENETIC NETWORK ANALYSIS OF CANCER TARGETS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,308486,
DETERMINING THE FATE OF TRANSMEMBRANE PROTEINS,DIVISION OF BASIC SCIENCES - NCI,2015,846720,
THE TUMOR SUPPRESSOR ROLE OF SMARCA4 IN SCCOHT,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,781296,
EXPLORING THE ONCOGENIC POTENTIAL OF HUMAN APOBEC3 CYTOSINE DEAMINASES,CHILDREN'S HOSP OF PHILADELPHIA,2016,219240,
COMPUTATIONAL MODELING OF HETEROGENEOUS GENE EXPRESSION IN SINGLE CELLS,UNIV OF NORTH CAROLINA CHAPEL HILL,2016,33259,
THE ROLE OF PGP IN COPD-ASSOCIATED PULMONARY HYPERTENSION,UNIVERSITY OF ALABAMA AT BIRMINGHAM,2016,161801,
A LA CARTE 2D ARTIFICIAL ANTIGEN PRESENTING SYSTEM MIMICKING SUPRAMOLECULAR PATTERNS IN THE NATURAL IMMUNOLOGICAL SYNAPSE FOR PRECISE FUNCTIONAL CONDITIONING OF TUMOR-SPECIFIC T CELLS,UNIVERSITY OF MICHIGAN,2016,77500,
SYNTHETIC STUDIES RELATED TO CANCER RESEARCH/TREATMENT,STANFORD UNIVERSITY,2016,451239,
TARGETING FGFR TO PREVENT THE OUTGROWTH OF METASTATIC BREAST CANCER,PURDUE UNIVERSITY,2016,238579,
ROLE OF GATA3 IN TRANSCRIPTIONAL PATHWAYS SUPPRESSING BREAST CANCER METASTASIS,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,403939,
IGF::OT::IGF  CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER). POP: 5/1/2015 - 4/30/2016,PUBLIC HEALTH INSTITUTE,2015,3122943,
INTERVENTIONS AGAINST THE MOLECULAR ETIOLOGY OF BMPR2-INDUCED PAH,VANDERBILT UNIVERSITY MEDICAL CENTER,2016,376811,
THE PATHOPHYSIOLOGICAL ROLE OF NUCLEAR EGFR IN TNBC,UNIVERSITY OF WISCONSIN-MADISON,2016,346108,
ADMINISTRATION OF COMPREHENSIVE ASSESSMENT OF OCCUPATIONALLY-RELEVANT EXPOSURES,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,2016,10000,
ROLE OF AUTOPHAGY IN CANCER,"RUTGERS, THE STATE UNIV OF N.J.",2016,311976,
IDENTIFICATION OF METABOLIC VULNERABILITIES OF RAS-DRIVEN CANCER CELLS,"RUTGERS, THE STATE UNIV OF N.J.",2016,480941,
MACMILLAN: PROJECT 3; TECHNOLOGY DEVELOPMENT AND RESEARCH PROJECT #3: BIOINFORMATICS (WHITE),UT SOUTHWESTERN MEDICAL CENTER,2016,,63112
TARGETING MECHANISTIC SUBTYPES OF NEOPLASTIC DISEASE,UT SOUTHWESTERN MEDICAL CENTER,2015,725453,
MECHANISTIC ELABORATION OF FRAGILITY IN THE CANCER CELL MITOTIC SPINDLE,UT SOUTHWESTERN MEDICAL CENTER,2015,321646,
ORGAN-SPECIFIC NRF2-MEDIATED PROTEIN SIGNATURES OF RADIATION EXPOSURE & TISSUE DA,UNIVERSITY OF CALIFORNIA LOS ANGELES,2016,385000,
MEASURING THE IMPACT OF NOISE ON CT READERS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,457619,
ROLE OF THE FIRST SECRETED TYROSINE KINASE IN BONE DEVELOPMENT; HOMEOSTASIS; AND REPAIR.,HARVARD MEDICAL SCHOOL,2016,66247,
ROLE OF THE FIRST SECRETED TYROSINE KINASE IN BONE DEVELOPMENT; HOMEOSTASIS; AND REPAIR.,HARVARD MEDICAL SCHOOL,2016,567767,
AIRWAY PROGENITOR CELL PROFILERATION AND DIFFERENTIATION DURING LUNG REPAIR,CINCINNATI CHILDRENS HOSP MED CTR,2016,639744,
CANCER GENETICS,UNIVERSITY OF MICHIGAN,2016,,241479
RADIATION SCIENCES,UNIVERSITY OF MICHIGAN,2016,,125850
XENOGRAFT,UNIVERSITY OF MICHIGAN,2016,,97224
GENE ANALYSIS SHARED RESOURCE,MAYO CLINIC ROCHESTER,2016,,425534
VARICELLA VIRUS ANTIGENS IN GLIOMA ETIOLOGY AND SURVIVAL,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",2016,509396,
SYNERGISTIC CHEMO-SIRNA COMBINATION THERAPY,"OPTIMUM THERAPEUTICS, LLC",2015,372483,
CCR OFFICE OF TRAINING AND EDUCATION,DIVISION OF BASIC SCIENCES - NCI,2015,2995011,
IGF::OT::IGF CORE INFRASTRUCTURE SUPPORT FOR SURVEILLANCE; EPIDEMIOLOGY; AND END RESULTS (SEER). PERIOD OF PERFORMANCE 05/01/2015 TO 04/30/2016,UNIVERSITY OF NEW MEXICO,2015,2860998,
HUMANIZATION OF HFCRN MICE FOR PHYSIOLOGICAL EVALUATION OF THERAPEUTIC ANTIBODIES,JACKSON LABORATORY,2016,191958,
DEFINING THE ROLE OF FARNESYLATED LKB1 IN REGULATING CELL POLARITY AND INVASION,EMORY UNIVERSITY,2016,43576,
DEVELOPMENT OF NOVEL SELECTIVE RAC INHIBITORS FOR REFRACTORY LEUKEMIAS,CHILDREN'S HOSPITAL CORPORATION,2016,638223,
HOST DETERMINANTS OF HUMAN METAPNEUMOVIRUS AND PATHOGENESIS,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,2016,381207,
MCL-1 DRIVES RESISTANCE OF LUMINAL BREAST CANCERS TO TARGETED THERAPIES,VANDERBILT UNIVERSITY,2016,27936,
FULL PROJECT 3: MOLECULAR PATHWAYS TO BREAST CANCER MORTALITY AMONG AFRICAN AMERICAN AND WHITE WOMEN,NORTH CAROLINA CENTRAL UNIVERSITY,2016,,55059
HEALTH-RELATED RESEARCH EXPERIENCES FOR UNDERGRADUATES (H-REU) PROGRAM,SCRIPPS RESEARCH INSTITUTE,2016,73440,
QUANTITATIVE DUAL-ENERGY CT IMAGING FOR RADIATION THERAPY TREATMENT PLANNING,VIRGINIA COMMONWEALTH UNIVERSITY,2015,307366,
UNIVERSITY OF NEW MEXICO CANCER CENTER SUPPORT GRANT,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,163814,
UNIVERSITY OF NEW MEXICO CANCER CENTER SUPPORT GRANT,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,123494,
UNIVERSITY OF NEW MEXICO CANCER CENTER SUPPORT GRANT,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,246024,
UNIVERSITY OF NEW MEXICO CANCER CENTER SUPPORT GRANT,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,113625,
KECK-UNM SMALL ANIMAL MODELS AND IMAGING SHARED RESOURCE,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,,107332
CANCER CONTROL PROGRAM,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,,71081
CANCER GENETICS; EPIGENETICS; AND GENOMICS PROGRAM,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,,79554
UNIVERSITY OF NEW MEXICO CANCER CENTER SUPPORT GRANT,UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2016,2246011,
